tool,mode,threshold,t_wall,t_cpu,timeout,mc time,states,lower_bound,trans,prob,prob LP,heur_iter,mem_max,info (total states:36850)
fark,prmin,0.7,35.74204611778259,64.91672154900152,False,-,23158,-,-,0.7055448268486999,0.7,1,-,-
fark,prmin,0.7,68.93062901496887,121.70632234402001,False,-,23146,-,-,0.7055448263353656,0.7,2,-,-
fark,prmin exact,0.7,1848.1329200267792,7215.642722204997,True,-,27367.0,17040.0,-,0.7076638387060226,0.7,-,-,-
fark,prmin,0.7999999999999999,36.74885392189026,69.32276052498491,False,-,27622,-,-,0.800734492190942,0.7999999999999999,1,-,-
fark,prmin,0.7999999999999999,72.0104112625122,132.55177730100695,False,-,27592,-,-,0.8001715806934167,0.7999999999999999,2,-,-
fark,prmin exact,0.7999999999999999,1847.908493757248,7207.715044726006,True,-,28049.0,21429.0,-,0.8009538741517663,0.7999999999999999,-,-,-
fark,prmin,0.8999999999999999,36.71666765213013,69.78560750000179,False,-,28552,-,-,0.9002190420112743,0.8999999999999999,1,-,-
fark,prmin,0.8999999999999999,71.11559891700745,129.38437634700676,False,-,28480,-,-,0.9002190419988325,0.8999999999999999,2,-,-
fark,prmin exact,0.8999999999999999,1847.8296461105347,7197.497176349978,True,-,28764.0,26097.0,-,0.900356254338619,0.8999999999999999,-,-,-
fark,prmin,0.9999999999999999,31.7773597240448,48.98675316298613,False,-,36850,-,-,1.0,0.9999999999999999,1,-,-
fark,prmin,0.9999999999999999,59.98756766319275,84.45320279101725,False,-,36850,-,-,1.0,0.9999999999999999,2,-,-
fark,prmin exact,0.9999999999999999,48.77686905860901,49.236507038003765,False,-,36850.0,36850.0,-,1.0,0.9999999999999999,-,-,-
