tool,mode,threshold,t_wall,t_cpu,timeout,mc time,states,lower_bound,trans,prob,prob LP,heur_iter,info (total states:46873)
fark,y form,0.01,9.432637214660645,27.259585277177393,False,-,11305,-,-,0.05799344563055273,0.01,1,-
fark,z form,0.01,4.216847896575928,7.041980002075434,False,-,40,-,-,0.019464586577338454,0.01,1,-
fark,y form,0.01,13.755988597869873,34.46564069692977,False,-,23,-,-,0.010102674757482685,0.01,2,-
fark,z form,0.01,8.581562280654907,14.135717232013121,False,-,16,-,-,0.011339598112136494,0.01,2,-
fark,y form,0.01,17.827511310577393,40.88271326199174,False,-,21,-,-,0.010042708699368536,0.01,3,-
fark,z form,0.01,12.103559494018555,18.1431298868265,False,-,16,-,-,0.011339598112136494,0.01,3,-
fark,y form,0.01,21.901222705841064,47.37335133505985,False,-,21,-,-,0.010042708699368536,0.01,4,-
fark,z form,0.01,17.426873207092285,29.23169814888388,False,-,16,-,-,0.011339598112136494,0.01,4,-
fark,y form,0.01,25.73204255104065,52.764246988110244,False,-,21,-,-,0.010042708699368536,0.01,5,-
fark,z form,0.01,19.844127655029297,29.00263448082842,False,-,16,-,-,0.011339598112136494,0.01,5,-
fark,y exact,0.01,1316.001651763916,5221.147426490905,False,-,16,16.0,-,0.011339598112136494,0.01,-,-
fark,z exact,0.01,34.78494882583618,118.11632573301904,False,-,16,16.0,-,0.011339598112136494,0.01,-,-
comics,global,0.01,0.034545,-,-,-,17,-,-,0.0113396,-,-,-
comics,local,0.01,0.121032,-,-,-,17,-,-,0.0113396,-,-,-
fark,y form,0.02,9.133022785186768,25.88763125706464,False,-,11305,-,-,0.05799344563055273,0.02,1,-
fark,z form,0.02,5.598665714263916,12.520207121036947,False,-,98,-,-,0.045407855132175046,0.02,1,-
fark,y form,0.02,13.891034603118896,35.01826206012629,False,-,57,-,-,0.020008679809450283,0.02,2,-
fark,z form,0.02,9.45564866065979,17.71317001711577,False,-,70,-,-,0.03344406975962755,0.02,2,-
fark,y form,0.02,17.811429977416992,40.83655219199136,False,-,57,-,-,0.020008679809450283,0.02,3,-
fark,z form,0.02,12.341603994369507,19.005186589201912,False,-,55,-,-,0.027925426834981015,0.02,3,-
fark,y form,0.02,22.484834671020508,49.65518612600863,False,-,57,-,-,0.020008679809450283,0.02,4,-
fark,z form,0.02,17.837870836257935,30.828111870912835,False,-,55,-,-,0.027925426834981015,0.02,4,-
fark,y form,0.02,26.382447004318237,55.27674946305342,False,-,57,-,-,0.020008679809450283,0.02,5,-
fark,z form,0.02,21.110870122909546,33.788108200067654,False,-,55,-,-,0.027925426834981015,0.02,5,-
fark,y exact,0.02,1808.486503124237,7189.591304674977,True,-,41,32.0,-,0.020022969285985397,0.019999999999999997,-,-
fark,z exact,0.02,1560.2294731140137,6216.523301800014,False,-,41,41.0,-,0.020022969285985397,0.02,-,-
comics,global,0.02,0.035437,-,-,-,130,-,-,0.0201532,-,-,-
comics,local,0.02,1.79989,-,-,-,48,-,-,0.0211568,-,-,-
fark,y form,0.03,9.591808319091797,27.72147318092175,False,-,11305,-,-,0.05799344563055273,0.03,1,-
fark,z form,0.03,4.333349227905273,7.53832168597728,False,-,98,-,-,0.045407855132175046,0.03,1,-
fark,y form,0.03,13.776437520980835,34.49462952907197,False,-,115,-,-,0.030042982704762668,0.030000000000000002,2,-
fark,z form,0.03,9.467226266860962,17.745379792992026,False,-,70,-,-,0.03344406975962755,0.03,2,-
fark,y form,0.03,17.511969566345215,39.4712385868188,False,-,113,-,-,0.030000206059343577,0.030000000000000002,3,-
fark,z form,0.03,12.317575216293335,19.00104230782017,False,-,70,-,-,0.03344406975962755,0.03,3,-
fark,y form,0.03,23.336029529571533,52.93222953286022,False,-,113,-,-,0.030000206059343577,0.030000000000000002,4,-
fark,z form,0.03,17.91396713256836,31.18696700106375,False,-,70,-,-,0.03344406975962755,0.03,4,-
fark,y form,0.03,25.65511918067932,52.534671999979764,False,-,113,-,-,0.030000206059343577,0.030000000000000002,5,-
fark,z form,0.03,20.400339365005493,31.056226100074127,False,-,70,-,-,0.03344406975962755,0.03,5,-
fark,y exact,0.03,1809.7437314987183,7194.526104697026,True,-,63,51.0,-,0.030108482137941588,0.030108482201517774,-,-
fark,z exact,0.03,1806.3310160636902,7202.070154428948,True,-,63,50.0,-,0.030108482137941588,0.03,-,-
comics,global,0.03,0.041671,-,-,-,143,-,-,0.0310701,-,-,-
comics,local,0.03,2.96998,-,-,-,64,-,-,0.0300295,-,-,-
fark,y form,0.04,8.912688255310059,25.164858024101704,False,-,11305,-,-,0.05799344563055273,0.04,1,-
fark,z form,0.04,4.023969888687134,6.426809648051858,False,-,98,-,-,0.045407855132175046,0.04,1,-
fark,y form,0.04,13.552142858505249,33.84630618710071,False,-,348,-,-,0.04010024000323103,0.04,2,-
fark,z form,0.04,8.081461906433105,12.401920665986836,False,-,86,-,-,0.04233703562955958,0.04,2,-
fark,y form,0.04,18.87415909767151,45.3098070488777,False,-,346,-,-,0.04008000265896537,0.04,3,-
fark,z form,0.04,13.46405839920044,23.644912871997803,False,-,86,-,-,0.04233703562955958,0.04,3,-
fark,y form,0.04,21.562041997909546,46.37766875792295,False,-,346,-,-,0.04008000265896537,0.04,4,-
fark,z form,0.04,16.043336391448975,23.790838205022737,False,-,86,-,-,0.04233703562955958,0.04,4,-
fark,y form,0.04,25.730157136917114,53.06603542389348,False,-,346,-,-,0.04008000265896537,0.04,5,-
fark,z form,0.04,20.018255949020386,29.424306727945805,False,-,86,-,-,0.04233703562955958,0.04,5,-
fark,y exact,0.04,1808.4654591083527,7186.3894374920055,True,-,84,75.0,-,0.04035687267374856,0.039999999999999994,-,-
fark,z exact,0.04,1806.1254765987396,7202.3167228898965,True,-,84,63.0,-,0.040897061127560884,0.04,-,-
comics,global,0.04,0.04122,-,-,-,143,-,-,0.0409932,-,-,-
comics,local,0.04,3.9907,-,-,-,85,-,-,0.0408971,-,-,-
fark,y form,0.05,9.142570972442627,25.875012112082914,False,-,11305,-,-,0.05799344563055273,0.05,1,-
fark,z form,0.05,4.060815334320068,6.442230358021334,False,-,156,-,-,0.07134161367185511,0.05,1,-
fark,y form,0.05,13.530375003814697,33.44409760995768,False,-,803,-,-,0.05005859158130173,0.05,2,-
fark,z form,0.05,8.14399528503418,12.35942880390212,False,-,113,-,-,0.05668484010937023,0.05,2,-
fark,y form,0.05,18.058222770690918,41.74417023709975,False,-,803,-,-,0.05005859158130173,0.05,3,-
fark,z form,0.05,12.146485805511475,18.16503220004961,False,-,113,-,-,0.05668484010937023,0.05,3,-
fark,y form,0.05,22.8606379032135,51.05611597187817,False,-,803,-,-,0.05005859158130173,0.05,4,-
fark,z form,0.05,16.189762353897095,24.009230322903022,False,-,113,-,-,0.05668484010937023,0.05,4,-
fark,y form,0.05,26.306231260299683,54.836141020059586,False,-,803,-,-,0.05005859158130173,0.05,5,-
fark,z form,0.05,21.02462863922119,33.01881259307265,False,-,113,-,-,0.05668484010937023,0.05,5,-
fark,y exact,0.05,1808.4280405044556,7186.422520637047,True,-,99,77.0,-,0.05021330021986453,0.05,-,-
fark,z exact,0.05,1806.219354391098,7202.9479542849585,True,-,99,72.0,-,0.05021330021986453,0.05,-,-
comics,global,0.05,0.045806,-,-,-,211,-,-,0.0500452,-,-,-
comics,local,0.05,5.46351,-,-,-,110,-,-,0.052174,-,-,-
fark,y form,0.060000000000000005,9.378549337387085,26.841306363930926,False,-,13834,-,-,0.07159136915470912,0.060000000000000005,1,-
fark,z form,0.060000000000000005,4.099792003631592,6.551111645996571,False,-,156,-,-,0.07134161367185511,0.060000000000000005,1,-
fark,y form,0.060000000000000005,15.512669086456299,41.48161572101526,False,-,857,-,-,0.060237881659154814,0.06000000000000001,2,-
fark,z form,0.060000000000000005,8.031244993209839,12.103355647064745,False,-,130,-,-,0.06290777511529917,0.060000000000000005,2,-
fark,y form,0.060000000000000005,18.649369716644287,44.047078638803214,False,-,855,-,-,0.06016556704364269,0.06000000000000001,3,-
fark,z form,0.060000000000000005,13.049381494522095,21.8026959230192,False,-,130,-,-,0.06290777511529917,0.060000000000000005,3,-
fark,y form,0.060000000000000005,22.631513595581055,49.874039866030216,False,-,855,-,-,0.06016556704364269,0.06000000000000001,4,-
fark,z form,0.060000000000000005,16.206919193267822,24.03623654693365,False,-,130,-,-,0.06290777511529917,0.060000000000000005,4,-
fark,y form,0.060000000000000005,26.90030837059021,57.37197684007697,False,-,855,-,-,0.06016556704364269,0.06000000000000001,5,-
fark,z form,0.060000000000000005,20.183025121688843,29.819716806989163,False,-,130,-,-,0.06290777511529917,0.060000000000000005,5,-
fark,y exact,0.060000000000000005,1808.540845632553,7184.783979493892,True,-,124,110.0,-,0.06060633189886697,0.06,-,-
fark,z exact,0.060000000000000005,1806.1468636989594,7202.577721907059,True,-,124,87.0,-,0.06060633189886697,0.060000000000000005,-,-
