tool,mode,threshold,t_wall,t_cpu,timeout,mc time,states,lower_bound,trans,prob,prob LP,heur_iter,info (total states:1805)
fark,y form,0.01,0.14911150932312012,0.14912002099936217,False,-,419,-,-,0.07387579821384314,0.010000000000000002,1,-
fark,z form,0.01,0.13932585716247559,0.13933095900029002,False,-,22,-,-,0.04506655839247001,0.01,1,-
fark,y form,0.01,0.28600263595581055,0.2856109809999907,False,-,17,-,-,0.019318285868533912,0.01,2,-
fark,z form,0.01,0.26213812828063965,0.26214738299950113,False,-,19,-,-,0.030355571767195715,0.01,2,-
fark,y form,0.01,0.4133260250091553,0.4133147460006512,False,-,17,-,-,0.019318285868533912,0.01,3,-
fark,z form,0.01,0.39521288871765137,0.3952047840002706,False,-,17,-,-,0.01931828586853391,0.01,3,-
fark,y form,0.01,0.5483736991882324,0.54838197799927,False,-,17,-,-,0.019318285868533912,0.01,4,-
fark,z form,0.01,0.5272693634033203,0.527242600000136,False,-,17,-,-,0.01931828586853391,0.01,4,-
fark,y form,0.01,0.6839804649353027,0.6836224790004053,False,-,17,-,-,0.019318285868533912,0.01,5,-
fark,z form,0.01,0.6592309474945068,0.6592303950001224,False,-,17,-,-,0.01931828586853391,0.01,5,-
fark,y exact,0.01,3.5466248989105225,12.747361851000278,False,-,14,14.0,-,0.013012256434771906,0.01,-,-
fark,z exact,0.01,0.4705016613006592,1.1458065609995174,False,-,14,14.0,-,0.013012256434771904,0.01,-,-
comics,global,0.01,0.000296,-,-,-,15,-,-,0.0130123,-,-,-
comics,local,0.01,0.000611,-,-,-,15,-,-,0.0130123,-,-,-
fark,y form,0.02,0.15007853507995605,0.15009213799930876,False,-,419,-,-,0.07387579821384314,0.020000000000000004,1,-
fark,z form,0.02,0.13362979888916016,0.1336384280002676,False,-,22,-,-,0.04506655839247001,0.02,1,-
fark,y form,0.02,0.29085326194763184,0.2908393920006347,False,-,26,-,-,0.023654114646863126,0.02,2,-
fark,z form,0.02,0.2630143165588379,0.26300675499987847,False,-,19,-,-,0.030355571767195715,0.02,2,-
fark,y form,0.02,0.41501665115356445,0.41501121500004956,False,-,26,-,-,0.023654114646863126,0.02,3,-
fark,z form,0.02,0.39696168899536133,0.3966384430004837,False,-,19,-,-,0.030355571767195715,0.02,3,-
fark,y form,0.02,0.5534303188323975,0.5534358830000201,False,-,26,-,-,0.023654114646863126,0.02,4,-
fark,z form,0.02,0.5306169986724854,0.5306220129996291,False,-,19,-,-,0.030355571767195715,0.02,4,-
fark,y form,0.02,0.6826305389404297,0.6826137340003697,False,-,26,-,-,0.023654114646863126,0.02,5,-
fark,z form,0.02,0.6571848392486572,0.6571744000002582,False,-,19,-,-,0.030355571767195715,0.02,5,-
fark,y exact,0.02,4.165457248687744,15.184808816999976,False,-,16,16.0,-,0.02044666314666142,0.02,-,-
fark,z exact,0.02,0.5820837020874023,1.5898426710000422,False,-,16,16.0,-,0.02044666314666142,0.02,-,-
comics,global,0.02,0.000303,-,-,-,17,-,-,0.0204467,-,-,-
comics,local,0.02,0.00094,-,-,-,17,-,-,0.0204467,-,-,-
